review_id,year,source_node,target_node,relation,description
R02350,2020,fun,close to soul,contrast,fun contrasted with spiritual closeness
R02350,2020,different,close to soul,contrast,different contrasted with spiritual closeness
R01859,2018,narayanhiti durbar,closed on Tuesday & Wednesday,contrast,narayanhiti durbar was closed
R00845,2015,river,cremation,description,river is where cremation takes place
R00845,2015,security officer,rude tone,causal,security officer's rude tone caused a problem
R00845,2015,no photography zones,security officer,causal,no photography rule led to interaction with security officer
R01298,2016,vibes,offer prayers,co_occurrence,vibes felt during offering prayers
R00537,2014,calm and peaceful,happy and blessed,co_occurrence,Both emotions felt simultaneously
R00537,2014,Sanjiv,calm and peaceful,causal,Sanjiv's action led to the experience
R00112,2012,cremations,cycle of life,causal,cremations evoke thoughts on the cycle of life
R00112,2012,smoke,home for the elderly,contrast,smoke issue contrasted with exploring other areas
R02079,2018,worshippers making a pilgrimage,holy men,co_occurrence,Both present at the temple
R02079,2018,holy men,camera toting tourists,co_occurrence,Tourists surrounding holy men
R02079,2018,monkeys,camera toting tourists,co_occurrence,Monkeys and tourists both present
R02298,2019,architecture,history,co_occurrence,architecture and history mentioned together
R01834,2018,devotees of Lord Shiva,deity,co_occurrence,devotees glimpse the deity
R01834,2018,crowds,deity,contrast,crowds make it hard to offer prayer
R01834,2018,architecture,small temples,description,architecture includes many small temples
R01486,2017,ancient design of art,marvellous architect,description,ancient design described as marvellous architect
R01486,2017,iconic temple,Hindi religious,description,temple described as part of Hindi religious
R01822,2018,rebuilded houses,rebuilding,contrast,rebuilded houses look not so nice despite rebuilding efforts
R01822,2018,spirit of Shiva,devotees,co_occurrence,spirit of Shiva felt with presence of devotees
R00232,2012,hospice,river,co_occurrence,hospice located on the river banks
R00232,2012,funeral pyres,beautiful calm place,contrast,funeral pyres are both beautiful and calm
R00234,2012,sense of spirituality,our place in the world order,co_occurrence,Both emotions are felt together by the reviewer
R00580,2014,Photos arent allowed,confiscate ur camera,causal,Photos not allowed leads to camera confiscation
R01166,2016,important Hindu shrine,non Hindus cannot go into the main area,contrast,important shrine but restricted access
R01166,2016,important Hindu shrine,crematoria,co_occurrence,crematoria are part of the shrine complex
R01076,2016,dead being burned,local traditions,description,cremation ceremony is part of local traditions
R01076,2016,strong smell,smoke,co_occurrence,strong smell and smoke occur together
R01711,2017,Abhishek ticket,expedited darshan,causal,Abhishek ticket allows expedited darshan
R01711,2017,State Bank counter,Abhishek ticket,description,State Bank counter sells Abhishek ticket
R01711,2017,golden Nandi,State Bank counter,description,State Bank counter is near golden Nandi
